"berichtsjahr";"tourismusjahr";"saison";"monat";"gkz";"gemeinde";"hauptgliederung";"status";"ankuenfte";"naechtigungen"
1986;1986;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";330;1703
1986;1986;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";268;1404
1986;1986;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";370;2943
1986;1986;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";39;296
1986;1986;"Sommer";7;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";419;3091
1986;1986;"Sommer";7;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1223;12589
1986;1986;"Sommer";7;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";219;2224
1986;1986;"Sommer";8;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";433;3394
1986;1986;"Sommer";8;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1253;13909
1986;1986;"Sommer";8;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";233;2071
1986;1986;"Sommer";9;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";426;2995
1986;1986;"Sommer";9;80101;"Bartholomäberg";"Privatquartiere";"endgültig";587;5661
1986;1986;"Sommer";9;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";38;466
1986;1986;"Sommer";10;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";232;973
1986;1986;"Sommer";10;80101;"Bartholomäberg";"Privatquartiere";"endgültig";219;1631
1986;1986;"Sommer";10;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";18;205
1986;1987;"Winter";11;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";61;145
1986;1987;"Winter";11;80101;"Bartholomäberg";"Privatquartiere";"endgültig";44;278
1986;1987;"Winter";12;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";255;1425
1986;1987;"Winter";12;80101;"Bartholomäberg";"Privatquartiere";"endgültig";680;4064
1986;1987;"Winter";12;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";182;1877
1987;1987;"Winter";1;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";355;2043
1987;1987;"Winter";1;80101;"Bartholomäberg";"Privatquartiere";"endgültig";785;5646
1987;1987;"Winter";1;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";36;516
1987;1987;"Winter";2;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";616;2621
1987;1987;"Winter";2;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1553;6717
1987;1987;"Winter";2;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";51;667
1987;1987;"Winter";3;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";369;2751
1987;1987;"Winter";3;80101;"Bartholomäberg";"Privatquartiere";"endgültig";1021;7578
1987;1987;"Winter";3;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";214;1888
1987;1987;"Winter";4;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";440;1889
1987;1987;"Winter";4;80101;"Bartholomäberg";"Privatquartiere";"endgültig";582;4006
1987;1987;"Winter";4;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";113;1121
1987;1987;"Sommer";5;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";175;587
1987;1987;"Sommer";5;80101;"Bartholomäberg";"Privatquartiere";"endgültig";226;1607
1987;1987;"Sommer";5;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";47;553
1987;1987;"Sommer";6;80101;"Bartholomäberg";"Gewerbliche Beherbergungsbetriebe";"endgültig";302;1349
1987;1987;"Sommer";6;80101;"Bartholomäberg";"Privatquartiere";"endgültig";483;3625
1987;1987;"Sommer";6;80101;"Bartholomäberg";"Andere Unterkünfte";"endgültig";2;4
